raceeth_f,raceeth,year,oldcode
NH White,1,2014,1
NH Black,2,2014,2
NH American Indian,4,2014,3
NH Asian/PI,5,2014,4
Hispanic,3,2014,8
extra,,2014,9
extra,,2014,
Other,6,2014,7
Other,6,2014,6
NH Asian/PI,5,2014,5
NH White,1,2012,1
NH Black,2,2012,2
NH American Indian,4,2012,5
NH Asian/PI,5,2012,3
Hispanic,3,2012,8
extra,,2012,9
extra,,2012,
Other,6,2012,7
Other,6,2012,6
NH Asian/PI,5,2012,4
NH White,1,2010,1
NH Black,2,2010,2
NH American Indian,4,2010,5
NH Asian/PI,5,2010,3
Hispanic,3,2010,8
extra,,2010,9
extra,,2010,
Other,6,2010,7
Other,6,2010,6
NH Asian/PI,5,2010,4
NH White,1,2016,1
NH Black,2,2016,2
NH American Indian,4,2016,3
NH Asian/PI,5,2016,4
Hispanic,3,2016,8
extra,,2016,9
extra,,2016,
Other,6,2016,7
Other,6,2016,6
NH Asian/PI,5,2016,5
