county_name,FIPS,econ_tier2011,econ_tier2012,econ_tier2013,econ_tier2014,border
Alamance,37001,2,2,2,2,0
Alexander,37003,1,2,2,2,0
Alleghany,37005,1,1,1,1,1
Anson,37007,1,1,1,1,1
Ashe,37009,2,2,2,2,1
Avery,37011,2,2,2,2,1
Beaufort,37013,1,1,2,1,0
Bertie,37015,1,1,1,1,0
Bladen,37017,1,1,1,1,0
Brunswick,37019,3,3,3,3,1
Buncombe,37021,3,3,3,3,0
Burke,37023,1,1,1,1,0
Cabarrus,37025,3,3,3,3,0
Caldwell,37027,1,1,1,1,0
Camden,37029,1,1,1,1,1
Carteret,37031,3,3,3,3,0
Caswell,37033,1,1,1,1,1
Catawba,37035,2,2,2,2,0
Chatham,37037,3,3,3,3,0
Cherokee,37039,1,1,1,2,1
Chowan,37041,2,1,1,1,0
Clay,37043,1,1,1,1,1
Cleveland,37045,1,1,2,2,1
Columbus,37047,1,1,1,1,1
Craven,37049,3,2,2,2,0
Cumberland,37051,2,2,2,2,0
Currituck,37053,2,2,2,2,1
Dare,37055,2,2,2,2,0
Davidson,37057,2,2,2,2,0
Davie,37059,2,2,2,2,0
Duplin,37061,2,2,2,2,0
Durham,37063,3,3,3,3,0
Edgecombe,37065,1,1,1,1,0
Forsyth,37067,3,3,3,3,0
Franklin,37069,2,2,3,2,0
Gaston,37071,2,2,2,2,1
Gates,37073,1,2,1,1,1
Graham,37075,1,1,1,1,1
Granville,37077,2,2,2,2,1
Greene,37079,1,1,2,1,0
Guilford,37081,3,3,2,3,0
Halifax,37083,1,1,1,1,0
Harnett,37085,2,2,2,2,0
Haywood,37087,2,2,3,2,1
Henderson,37089,3,3,3,3,1
Hertford,37091,1,1,1,1,1
Hoke,37093,2,2,1,1,0
Hyde,37095,1,1,1,1,0
Iredell,37097,3,3,3,3,0
Jackson,37099,2,2,1,1,1
Johnston,37101,3,3,3,3,0
Jones,37103,1,1,1,1,0
Lee,37105,2,2,2,2,0
Lenoir,37107,1,1,1,1,0
Lincoln,37109,2,3,2,3,0
McDowell,37111,2,2,2,2,0
Macon,37113,2,2,2,2,1
Madison,37115,1,1,1,1,1
Martin,37117,1,1,1,2,0
Mecklenburg,37119,3,3,3,3,1
Mitchell,37121,1,1,1,1,1
Montgomery,37123,1,1,1,1,0
Moore,37125,3,3,3,3,0
Nash,37127,2,2,2,2,0
New Hanover,37129,3,3,3,3,0
Northampton,37131,1,1,1,1,1
Onslow,37133,3,2,2,2,0
Orange,37135,3,3,3,3,0
Pamlico,37137,2,2,2,2,0
Pasquotank,37139,2,2,2,1,0
Pender,37141,3,3,3,3,0
Perquimans,37143,2,2,2,1,0
Person,37145,2,2,2,2,1
Pitt,37147,2,2,2,2,0
Polk,37149,2,2,2,2,1
Randolph,37151,2,2,2,2,0
Richmond,37153,1,1,1,1,1
Robeson,37155,1,1,1,1,1
Rockingham,37157,1,1,1,1,1
Rowan,37159,2,2,2,2,0
Rutherford,37161,1,1,1,1,1
Sampson,37163,2,2,2,2,0
Scotland,37165,1,1,1,1,1
Stanly,37167,2,2,2,2,0
Stokes,37169,2,2,2,2,1
Surry,37171,1,1,2,1,1
Swain,37173,1,1,1,1,1
Transylvania,37175,2,2,2,2,1
Tyrrell,37177,1,1,1,1,0
Union,37179,3,3,3,3,1
Vance,37181,1,1,1,1,1
Wake,37183,3,3,3,3,0
Warren,37185,1,1,1,1,1
Washington,37187,1,1,1,1,0
Watauga,37189,2,3,3,3,1
Wayne,37191,2,2,2,2,0
Wilkes,37193,1,1,1,2,0
Wilson,37195,2,2,1,1,0
Yadkin,37197,2,2,2,2,0
Yancey,37199,2,1,1,2,1
Out of State,NA,NA,,,,
